name,Famous_for,Address,Hear_the_story,longitude,latitude,DIID
The Stable Yard (National Trust),,"Morden Hall Rd, Morden SM4 5JD",,-0.1886082,51.4024377,
National Trust Cliveden,,"Cliveden Rd, Taplow, Maidenhead SL6 0HP",,-0.681545,51.5567896,
National Trust - Box Hill,,"Zig Zag Rd, Tadworth KT20 7LB",,-0.3131613,51.2491972,
National Trust - Reigate Hill and Gatton Park,,"Wray Ln, Reigate RH2 0HX",,-0.1917696,51.2560931,
National Trust - Abinger Roughs and Netley Park,,"White Down Ln, Abinger Hammer, Dorking RH5 6QS",,-0.4114898,51.2204284,
National Trust - Winkworth Arboretum,,"Hascombe Rd, Godalming GU8 4AD",,-0.5861002,51.1616894,
National Trust - Scotney Castle,,"Lamberhurst, Tunbridge Wells TN3 8JN",,0.4082336,51.0928332,
National Trust - Ightham Mote,,"Mote Rd, Ivy Hatch, Sevenoaks TN15 0NT",,0.2692027,51.25838,
National Trust - Claydon,,"Claydon House, Queen Catherine Rd, Middle Claydon, Buckingham MK18 2EY",,-0.9557503,51.921913,
National Trust - Cuckmere Valley,,Polegate BN26 5TT,,0.1500198,50.7943264,
National Trust - Birling Gap and the Seven Sisters,,"Beachy Head Rd, Eastbourne BN20 0AB",,0.2010491,50.7431648,
"The National Trust, Friary Farm",,"Friary Farm, Cley Rd, Blakeney, Holt NR25 7NW",,1.0269047,52.955475,
National Trust - Lyveden,,"Lyveden New Bield, Lyveden PE8 5AT",,-0.5532319,52.456911,
"National Trust - Lacock Abbey, Fox Talbot Museum and Village",,"High St, Lacock, Chippenham SN15 2LG",,-2.1200889,51.4145806,
National Trust Cotswold Way,,"Cotswold Way, Stonehouse GL10 3ES",,-2.261821,51.778286,
The National Trust - Runnymede and Ankerwycke,,"Windsor Rd, Englefield Green, Windsor SL4 2JL",,-0.567572,51.4484799,
National Trust - 575 Wandsworth Road,,"575 Wandsworth Rd, Clapham Town, London SW8 3JD",,-0.1405768,51.4696196,
National Trust - Cookham Moor,,"2 High St, Cookham, Maidenhead SL6 9SG",,-0.7132602,51.5600074,
National Trust - Knole,,"Knole House, Sevenoaks TN15 0RP",,0.20557,51.2662551,
National Trust - Bookham Commons,,"Church Rd, Great Bookham, Leatherhead KT23 3LT",,-0.388118,51.294989,
National Trust - St John's Jerusalem,,"Sutton at Hone, Dartford DA4 9HQ",,0.2401479,51.4107913,
National Trust - Owletts,,"The St, Cobham, Gravesend DA12 3AP",,0.391894,51.39313,
National Trust - Sheffield Park and Garden,,"Sheffield Park, Uckfield TN22 3QX",,0.0144802,50.9987799,
National Trust - Black Down,,"Tennyson's Ln, Haslemere GU27 3BJ",,-0.6873858,51.0701215,
National Trust - Slindon Estate,,"Top Rd, Arundel BN18 0RG",,-0.639124,50.86856,
National Trust - Mottisfont,,"Mottisfont Ln, Mottisfont, Romsey SO51 0LP",,-1.5332435,51.0398988,
National Trust's Denbies Hillside,,"Ranmore Common Rd, Dorking RH5 6SR",,-0.3660914,51.2412429,
National Trust - Bourne Mill,,"Bourne Rd, Colchester CO2 8RT",,0.912377,51.877044,
