name,Famous_for,Address,Hear_the_story,latitude,longitude,DIID
Blenheim Palace,,,,51.842028,-1.361101,
Boughton House,,,,"52.58475555546345, ",-0.682327134,
Castle Howard,,,,"54.1247672216376, ",-0.91523026,
Chatsworth House,,,,53.228184,-1.611523,
"Christ Church, Spitalfield",,,,51.51964906,-0.073982844,
Dyrham Park,,,,"51.480247914957076, ",-2.373250617,
Old Royal Naval College,,,,"51.48340631883573, ",-0.005926131,
Petworth House,,,,50.988133,-0.611358,
St Anne's Limehouse,,,,"51.5118789308109, -",0.030579331,
St Paul's Cathedral,,,,"51.51403223054145, ",-0.098350602,
Seaton Delaval Hall,,,,"55.10184517559357, ",-1.497967017,
