name,Famous_for,Address,Hear_the_story,latitude,longitude,DIID
Blenheim Palace,temp,temp,,51.84157047,-1.360993459,
Boughton House,temp,temp,,52.58475556,-0.682327134,
Castle Howard,temp,temp,,54.12476722,-0.91523026,
Chatsworth House,temp,temp,,53.228184,-1.611523,
Christ Church - Spitalfield,temp,temp,,51.51964906,-0.073982844,
Dyrham Park,temp,temp,,51.48024791,-2.373250617,
Old Royal Naval College,temp,temp,,51.48340632,-0.005926131,
Petworth House,temp,temp,,50.988133,-0.611358,
St Anne's Limehouse,temp,temp,,51.51187893,-0.030579331,
St Paul's Cathedral,temp,temp,,51.51403223,-0.098350602,
Seaton Delaval Hall,temp,temp,,55.10184518,-1.497967017,
